name,nationality,dob,highest_rank,highest_rank_year,handed,turned_pro,fav_surface,last10_win,rank,points,rank_2023,win_loss_2023,win_loss_clay_2023,win_loss_hardcourt_2023,win_loss_indoor_2023,win_loss_grass_2023,win_loss_other_2023,rank_2022,win_loss_2022,win_loss_clay_2022,win_loss_hardcourt_2022,win_loss_indoor_2022,win_loss_grass_2022,win_loss_other_2022,rank_2021,win_loss_2021,win_loss_clay_2021,win_loss_hardcourt_2021,win_loss_indoor_2021,win_loss_grass_2021,win_loss_other_2021,rank_2020,win_loss_2020,win_loss_clay_2020,win_loss_hardcourt_2020,win_loss_indoor_2020,win_loss_grass_2020,win_loss_other_2020,rank_2019,win_loss_2019,win_loss_clay_2019,win_loss_hardcourt_2019,win_loss_indoor_2019,win_loss_grass_2019,win_loss_other_2019,rank_2018,win_loss_2018,win_loss_clay_2018,win_loss_hardcourt_2018,win_loss_indoor_2018,win_loss_grass_2018,win_loss_other_2018,total_win_loss,total_win_loss_clay,total_win_loss_hardcourt,total_win_loss_indoor,total_win_loss_grass,total_win_loss_other
"Heras, Patricio",Argentina,1989-01-21,269,.2013,Right,,Clay,40%,-,-,,,,,,,,-,0/1,0/1,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,570,22/16,22/14,-,0/2,-,-,177/101,176/97,0/2,0/2,0/0,1/0
"Marin, Mircea George",Romania,2001-05-22,,,,,,17%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/1,-,-,-,,,2018,0/1,-,-,-,,,1/5,0/0,0/0,0/0,,
"Terracina, Ginevra",Italy,2001-10-17,,,,,,0%,-,-,2023,0/1,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/1,0/0,0/0,,
"de Nardi, Carlo",Italy,1998-02-19,,,Right,,Clay,38%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,3/4,-,-,-,,,2018,-,0/1,-,-,,,3/4,0/1,0/0,0/0,,
"Shetty, Sharanya",India,2002-06-08,,,Right,,Clay,29%,-,-,2023,0/2,0/1,-,-,,,2022,2/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/4,0/1,0/0,0/0,,
"Sootinun-Opart, Guntinun",Thailand,2003-08-29,,,,,,60%,-,-,,,,,,,,2022,-,11/6,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,11/6,0/0,0/0,,
"Le Bourjois, Virgile",France,2001-08-04,,,,,,25%,-,-,2023,-,-,0/1,-,,,2022,1/1,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1,0/0,0/2,0/0,,
"Bakici, Bora",Turkiye,2007-03-28,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Knezevic, David",Switzerland,2006-02-24,,,,,,0%,-,-,2023,0/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Radisic, Maja",Slovenia,2003-06-18,,,Right,,,10%,-,1514,2023,1/2,0/2,-,-,,,2022,0/4,-,0/1,-,,,,,,,,,,2020,0/1,-,-,-,,,,,,,,,,,,,,,,,1/7,0/2,0/1,0/0,,
"Rolo, Joao",Portugal,2000-02-01,,,Right,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/1,-,-,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Damov, Kamen",Canada,1999-03-21,1609,8.2019,,,,50%,-,-,,,,,,,,,,,,,,,,,,,,,,1800,0/1,-,-,0/1,-,,1667,5/4,-,5/4,-,-,,-,0/1,-,-,0/1,-,,7/9,1/2,5/4,1/3,0/0,
"Nagel, Hannah",Germany,1995-12-17,,,Right,,,30%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,2019,0/1,-,-,-,,,2018,3/3,1/2,-,-,,,6/13,2/4,0/0,0/0,,
"Megrabian, Anastasia",Belgium,2002-09-26,,,Right,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Vedia Villegas, Santiago Adrian",Bolivia,2004-05-08,,,Right,,Clay,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Goity Zapico, Segundo",Argentina,2005-08-12,,,Right,,Clay,25%,-,-,,,,,,,,2022,0/1,-,-,-,,,2021,1/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/3,0/0,0/0,0/0,,
"Komleva, Inga",Neutral,1999-06-22,,,Right,,Clay,33%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,1/2,-,-,-,,,,,,,,,,,,,,,,,1/2,0/0,0/0,0/0,,
"Cheuque, Christian",USA,1986-06-06,,,Right,,Hard,10%,-,-,,,,,,,,,,,,,,,2021,0/1,-,-,-,,,2020,-,0/1,-,-,,,2019,-,0/2,-,-,,,2018,-,1/2,-,-,,,0/3,1/10,0/0,0/0,,
"Gallardo Olivares, Carlos Alonso",Chile,2001-03-02,,,,,,25%,-,-,,,,,,,,,,,,,,,2021,0/1,-,-,-,,,,,,,,,,2019,0/1,-,-,-,,,2018,1/1,-,-,-,,,1/3,0/0,0/0,0/0,,
"Pella, Catalina",Argentina,1993-01-31,173,.2016,Right,,Clay,60%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,14/7,9/2,3/3,-,-,2/2,379,44/19,29/15,13/3,-,-,2/1,201/125,151/88,41/28,1/1,3/2,5/6
"Parkins-Godwin, Oriana",Great Britain,2003-09-23,,,,,,40%,-,-,,,,,,,,,,,,,,,2021,2/2,-,-,-,-,,2020,-,-,-,-,0/1,,,,,,,,,,,,,,,,2/2,0/0,0/0,0/0,0/1,
"Haworth, Christopher G",USA,1993-04-27,1334,1.2017,Right,,,40%,-,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1/1,-,1/1,-,-,,-,11/8,4/2,7/5,0/1,-,,33/22,6/4,25/16,2/2,0/0,
"Tong, Audrey",Singapore,2006-07-17,,,,,,33%,-,-,2023,-,0/1,-,-,-,,2022,-,-,-,-,1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,1/1,
"Siimar, Mattias",Estonia,1998-02-03,1036,0.2021,Left,,Hard,60%,-,-,,,,,,,,,,,,,,,1203,5/3,4/1,-,1/1,-,0/1,1259,3/1,-,-,3/1,-,-,-,1/3,1/2,-,0/1,-,-,1169,7/6,7/6,-,-,-,-,34/31,22/16,2/1,10/11,0/0,0/3
"Robbiani, Isabella",Paraguay,1992-03-30,,,Right,,Hard,40%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,3/4,3/3,0/1,-,-,-,-,0/1,0/1,-,-,-,-,7/9,4/8,1/1,0/0,0/0,2/0
"Budov, Danila",Neutral,2002-04-29,,,,,,20%,-,-,2023,-,0/2,-,-,,,2022,-,1/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/4,0/0,0/0,,
"Paquette, Samuel",Canada,2002-03-23,,,,,,0%,-,2209,2023,-,-,0/1,-,,,2022,-,-,0/2,-,,,2021,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/4,0/0,,
"Czajka, Antonina",Poland,2007-02-19,,,,,,0%,-,-,2023,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Novelli, Valerio",Italy,2000-07-04,,,,,,0%,-,-,2023,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Price, Salvador",Colombia,2005-02-19,,,,,,40%,-,-,,,,,,,,2022,2/2,-,-,-,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,2/3,0/0,0/0,0/0,,
"Kim, Dainhee",Republic of Korea,2004-07-24,,,,,,40%,-,-,,,,,,,,2022,-,5/8,-,-,,,,,,,,,,,,,,,,,2019,-,0/2,-,-,,,2018,-,3/2,-,-,,,0/0,8/12,0/0,0/0,,
"Marakhtanova, Polina",USA,2006-09-12,,,,,,0%,-,-,,,,,,,,,,,,,,,2021,0/2,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/2,0/0,0/0,,
"Lojda, Dusan",Czech Republic,1988-03-08,,,Left,2005,Clay,20%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,1/2,-,-,-,-,1/2,-,1/4,-,1/1,-,-,0/3,183/177,155/123,24/34,3/11,0/4,1/5
"Doyle, Hadley",USA,2001-06-09,,,,,,29%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,2019,-,2/3,-,-,,,2018,-,0/1,-,-,,,0/0,2/5,0/0,0/0,,
"Valtsis, Theodoros Marios",Greece,2005-12-12,,,,,Hard,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Aguilar Ortiz, Mia",Guatemala,2004-07-13,,,Right,,,0%,-,-,,,,,,,,,,,,,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Abdul Hakim, Kareem",Indonesia,2004-04-27,,,,,,25%,-,-,,,,,,,,2022,-,1/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/3,0/0,0/0,,
"von Hellens, Niklas",USA,2001-09-30,,,Right,,Clay,0%,-,-,,,,,,,,2022,-,-,0/1,-,,,,,,,,,,,,,,,,,2019,-,-,0/1,-,,,,,,,,,,0/0,0/0,0/2,0/0,,
"Leslie, Zachary",USA,1991-10-18,,,,,,33%,-,-,,,,,,,,2022,-,1/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/2,0/0,0/0,,
"Marginean, Alexia Iulia",Romania,2006-05-16,,,Left,,Clay,50%,-,-,2023,1/1,-,-,-,,,2022,6/4,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/5,0/0,0/0,0/0,,
"Long, Stanley",New Zealand,2004-10-29,,,Right,,Hard,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Perelman, Anna",Neutral,2007-09-21,,,,,Hard,75%,-,-,2023,3/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/1,0/0,0/0,0/0,,
"Daskalovic, Aleksa",Serbia,1998-08-18,,,Right,,Hard,30%,-,-,,,,,,,,,,,,,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,2018,1/4,-,-,-,,,17/26,0/0,0/0,0/0,,
"Necz, Andras",Hungary,1999-04-13,1579,2.2019,,,,30%,-,-,,,,,,,,-,0/1,0/1,-,-,-,,,,,,,,,,,,,,,,1582,3/7,3/7,-,-,-,,-,16/15,16/14,-,0/1,-,,29/36,29/35,0/0,0/1,0/0,
"Bellamy, Roscoe",USA,2000-01-26,,,Right,,Hard,50%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,1/0,-,-,,,,,,,,,,0/0,1/0,0/0,0/0,,
"Hance, Kenadi",USA,1997-03-13,,,,,,43%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/3,-,-,,,,,,,,,,0/0,0/3,3/1,0/0,,
"Nastase, Dan Mihai",Romania,2000-07-08,,,,,,20%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/2,-,-,-,,,2018,4/8,-,-,-,,,4/10,0/0,0/0,0/0,,
"Nwokolo, Ebolum Pastor",Trinidad and Tobago,2003-05-09,,,,,,0%,-,-,,,,,,,,2022,0/2,-,-,-,0/3,,2021,-,0/1,-,-,0/2,,,,,,,,,,,,,,,,,,,,,,,0/2,0/1,0/0,0/0,0/5,
"Costa, Cecilia",Brazil,2006-02-14,,,,,,60%,-,-,2023,3/1,-,-,-,,,2022,7/4,-,-,-,,,2021,1/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,11/6,0/0,0/0,0/0,,
"Kawabata Zuccolotto, Gustavo",Brazil,2004-04-07,,,,,,29%,-,-,,,,,,,,2022,1/2,-,-,-,,,2021,-,1/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/2,1/3,0/0,0/0,,
"Kanaphuet, Thitirat",Thailand,2000-09-24,,,Right,,Hard,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/10,-,-,,,2018,-,1/4,-,-,,,0/0,8/44,0/0,0/0,,
"Ong, Gareth",Singapore,2004-12-06,,,Right,,,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,2019,-,0/3,-,-,,,,,,,,,,0/0,0/4,0/0,0/0,,
"Kufeld, Vyacheslav",Kazakhstan,2006-01-31,,,,,,0%,-,-,,,,,,,,2022,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/1,0/0,,
"Alcaraz, Susana L",Mexico,1992-02-22,,,,,,0%,-,-,2023,-,0/1,-,-,,,2022,0/1,-,-,-,,,2021,-,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/5,0/0,0/0,,
"Morales, Chandreshwara",USA,1997-10-15,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,0/1,-,-,,,2018,-,0/3,-,-,,,0/0,0/4,0/0,0/0,,
"Luthra, Varun",USA,1982-09-13,,,,,,10%,-,-,,,,,,,,2022,-,0/1,-,-,,,2021,-,-,0/1,-,,,,,,,,,,2019,0/2,0/3,0/1,-,,,2018,0/2,0/2,1/2,-,,,0/4,0/8,1/5,0/0,,
"Hernandez Coronado, Mariajose",Guatemala,2002-11-28,,,Right,,Hard,50%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,-,1/1,-,-,,,,,,,,,,0/0,1/1,0/0,0/0,,
"Boshoff, Arili",South Africa,2005-12-14,,,Right,,,0%,-,-,2023,-,0/1,-,-,,,,,,,,,,2021,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Quittner, Qwyn",Australia,2004-03-11,,,Right,,,0%,-,-,,,,,,,,,,,,,,,2021,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Hasegawa, Yui",Japan,2002-02-28,,,,,,0%,-,-,2023,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Wigger, Niek",Netherlands,2001-06-26,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/1,-,-,-,,,,,,,,,,0/1,0/0,0/0,0/0,,
"de Castro Rocha, Victor Alvares",Brazil,,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Katsouda Taka, Aspasia",Greece,2002-06-27,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/2,-,-,-,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Ilagan, Andre",USA,2000-11-16,,,Left,,,60%,1063,1837,,,,,,,,1048,15/7,-,15/6,0/1,-,,-,0/1,-,0/1,-,-,,,,,,,,,,,,,,,,-,0/1,-,0/1,-,-,,15/10,0/0,15/8,0/2,0/0,
"Tipton, Braden",USA,2001-10-30,,,,,,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Petelinsek, Pia",Slovenia,2006-03-12,,,,,,0%,-,1197,2023,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Abramovich, Anastasiya",Neutral,2003-01-19,,,,,,60%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,-,-,-,-,2/0,,2019,-,1/1,-,-,-,,2018,3/2,-,-,-,-,,3/4,1/1,2/1,0/0,2/0,
"Campana, Facundo",Peru,2006-02-20,,,,,,0%,-,-,,,,,,,,2022,0/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Nawaf, Mashari",Qatar,2007-07-23,,,,,,14%,-,-,2023,-,0/2,-,-,-,,,,,,,,,2021,-,1/3,-,-,0/1,,,,,,,,,,,,,,,,,,,,,,,0/0,1/5,0/0,0/0,0/1,
"Viriant, Masa",Slovakia,2005-03-24,,,,,,50%,-,-,,,,,,,,,,,,,,,2021,2/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,2/2,0/0,0/0,0/0,,
"Diaz Ruiz, Carlos",Spain,2006-02-01,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Talavar, Yunes",Iran,2004-11-08,,,Right,,Clay,0%,-,-,2023,0/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Fenyves, Angelika Johanna",Hungary,2003-09-27,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Tsitsipas, Pavlos",Greece,2005-07-23,,,Ambidextrous,,,20%,-,-,,,,,,,,2022,-,1/1,-,-,,,2021,-,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/4,0/0,0/0,,
"Hammady, Ahmed",France,1992-09-07,,,,,,17%,-,-,,,,,,,,2022,1/5,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/5,0/0,0/0,0/0,,
"Maric, Marko",France,2000-09-25,,,,,,20%,-,-,2023,-,-,0/1,-,,,2022,6/8,1/1,1/2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/8,1/1,1/3,0/0,,
"Zafiropoulou, Katerina",Greece,2003-03-27,,,Right,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/1,-,-,-,,,2018,0/5,-,-,-,,,0/6,0/0,0/0,0/0,,
"Jordaan, Morgan",South Africa,2008-01-25,,,,,,0%,-,-,2023,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Perez Aguirrezabal, Borja",Spain,1995-12-19,,,,,,0%,-,-,,,,,,,,2022,0/1,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,2018,-,0/1,-,-,,,0/2,0/4,0/0,0/0,,
"Stojsavljevic, Mika",Great Britain,2008-12-15,,,,,,33%,-,-,2023,-,1/1,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/1,0/1,0/0,,
"Phanrassmeethong, Jakkapat",Thailand,2001-12-16,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,-,0/1,-,-,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Taiguara, Eduardo",Brazil,2001-12-09,,,Right,,Clay,0%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/3,-,-,-,,,,,,,,,,0/3,0/0,0/0,0/0,,
"Sivan, Ofek",Israel,2006-08-12,,,Right,,Clay,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Schroll, Philipp",Austria,1996-06-12,1128,9.2018,,,,50%,-,-,,,,,,,,,,,,,,,-,2/1,2/1,-,-,-,,,,,,,,,1667,3/3,1/1,2/2,-,-,,1145,33/20,28/16,5/4,-,-,,95/81,84/67,9/9,2/5,0/0,
"Vinokurova, Maria",Neutral,2005-03-06,,,,,,0%,-,-,,,,,,,,2022,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Kessler, McClain",USA,1996-07-18,1580,4.2018,,,,50%,-,-,,,,,,,,,,,,,,,-,3/2,3/2,-,-,-,,,,,,,,,-,6/6,1/2,5/4,-,-,,-,13/9,4/2,9/7,-,-,,35/26,17/13,18/13,0/0,0/0,
"Dopplerova, Barbora",Czech Republic,2007-02-08,,,,,,33%,-,-,,,,,,,,2022,1/1,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1,0/3,0/0,0/0,,
"Babinciuc, Ilie",Moldova,1985-12-06,,,Right,,Grass,20%,-,-,,,,,,,,2022,0/1,-,-,-,,,2021,1/3,-,-,-,,,2020,1/2,-,-,-,,,,,,,,,,,,,,,,,17/18,1/1,0/0,0/0,,
"Rajia, Youssef",USA,1997-08-12,,,Right,,Hard,10%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,0/1,-,-,-,,,2019,0/2,0/1,1/2,-,,,2018,2/7,2/4,0/2,-,,,4/21,2/8,1/5,0/0,,
"Blum, Nico",Austria,2002-03-07,,,,,,20%,-,-,,,,,,,,2022,1/2,-,-,-,,,2021,0/1,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,1/3,0/1,0/0,0/0,,
"Kosaka, Rira",Japan,2008-06-03,,,,,,0%,-,-,2023,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Gupta, Tanik",India,2001-10-01,,,Right,,Clay,0%,-,-,,,,,,,,2022,-,0/2,-,-,,,2021,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/4,0/0,0/0,,
"Habul, Bakir",Bosnia & Herzegovina,1997-10-24,,,,,,0%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,0/1,-,-,-,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Ojeda Viloria, Simon Andres",Colombia,2004-02-12,,,,,,0%,-,-,,,,,,,,,,,,,,,2021,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Karagozoglu, Kemal",Turkiye,2001-01-12,,,,,,33%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,1/2,-,-,-,,,,,,,,,,,,,,,,,1/2,0/0,0/0,0/0,,
"Viesi Santoro Pereira, Julia",Brazil,2006-07-23,,,Right,,Hard,0%,-,-,,,,,,,,2022,0/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/2,0/0,0/0,0/0,,
"Carlsten, Victoria",Sweden,2001-08-15,,,,,,40%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,3/4,-,3/2,-,,,,,,,,,,3/4,0/0,3/2,0/0,,
"Frikha, Khaled",Tunisia,2006-11-26,,,,,,0%,-,-,,,,,,,,2022,-,0/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/3,0/0,0/0,,
"Bisson, Maxime",France,1993-07-01,,,Right,2013,Hard,14%,-,-,,,,,,,,2022,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,2018,0/1,-,-,-,,,0/3,0/0,1/3,0/0,,
"Davila Gasser, Esteban",Bolivia,2004-10-20,,,,,,25%,-,-,,,,,,,,2022,1/3,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/3,0/0,0/0,0/0,,
"Valle Polo, Coral",Spain,2007-09-24,,,,,,0%,-,-,,,,,,,,2022,-,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/1,0/0,0/0,,
"Tromp, Jorrit",Netherlands,2005-06-20,,,,,,0%,-,-,,,,,,,,2022,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"Karatancheva, Sesil",Bulgaria,1989-08-08,35,2005,Right,2003,,20%,-,-,-,0/2,0/2,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,391,12/12,6/7,6/4,-,0/1,-,229,22/24,7/9,13/11,2/2,0/2,-,238/234,76/79,124/117,18/19,16/17,4/2
"Moraes, Luisa",Brazil,2004-05-17,,,,,,0%,-,-,,,,,,,,2022,0/1,0/1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/1,0/0,0/0,,
"Supulniece, Amelija",Latvia,2004-04-11,,,,,,0%,-,-,,,,,,,,2022,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/1,0/0,,
"Fekiac, Martin",Slovakia,1999-06-15,1346,8.2018,,,,30%,-,-,,,,,,,,,,,,,,,,,,,,,,-,1/1,-,-,1/1,-,,-,7/9,6/7,1/2,-,-,,1571,16/17,12/11,2/2,2/4,-,,35/41,28/29,3/4,4/8,0/0,
"Dunbar, Eliza",Australia,2005-02-05,,,,,,0%,-,-,,,,,,,,2022,-,0/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/2,0/0,0/0,,
"Taka, Yua",Japan,2003-06-25,,,,,,50%,-,-,2023,-,3/3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,3/3,0/0,0/0,,
"de Medeiros, Guilherme Luiz",Brazil,1999-02-10,,,,,,0%,-,-,,,,,,,,2022,-,-,0/1,-,,,2021,-,-,0/1,-,,,,,,,,,,,,,,,,,,,,,,,,0/0,0/0,0/2,0/0,,
"Savescu, Iulia",Romania,1997-10-02,,,Right,,Clay,30%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,1/2,-,-,-,,,2018,5/9,-,-,-,,,14/28,0/0,0/0,0/0,,
"Drayton, Thomas",Great Britain,2003-09-23,,,Right,,Clay,33%,-,-,,,,,,,,2022,-,1/2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/0,1/2,0/0,0/0,,
"Lee, Lucy",USA,2006-01-10,,,,,,0%,-,-,2023,0/1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0/1,0/0,0/0,0/0,,
"de Mata, Ana Julissa",Dominican Republic,2002-12-29,,,,,,20%,-,-,,,,,,,,2022,-,0/1,-,-,-,,2021,-,1/2,-,-,-,,,,,,,,,2019,-,-,-,-,0/1,,,,,,,,,0/0,1/3,0/0,0/0,0/1,
"Andrzejczak, Jarek",Poland,1998-03-28,,,Right,,Hard,0%,-,-,,,,,,,,,,,,,,,,,,,,,,2020,0/1,-,-,-,,,2019,0/2,-,-,-,,,2018,0/5,-,-,-,,,0/9,0/0,0/0,0/0,,
"Chang, Chen",Chinese Taipei,1997-10-09,,,,,,10%,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,0/2,0/4,-,-,,,2018,-,2/4,0/1,-,,,0/2,2/8,0/1,0/0,,
"Gorin, Egor",Neutral,2007-05-05,,,,,,33%,-,-,2023,1/2,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2,0/0,0/0,0/0,,
"Assaf, Moaz",Syria,1996-09-27,,,,,,13%,-,-,,,,,,,,,,,,,,,2021,0/2,-,-,-,,,,,,,,,,2019,1/1,-,-,-,,,2018,0/4,-,-,-,,,1/7,0/0,0/0,0/0,,
